emp_no,dept_no,dept_name,emp_title_id,title,birth_date,first_name,last_name,sex,hire_date,no_of_projects,Last_performance_rating,left,last_date,salary,age,tenure,
10300,d004,Production,e0003,Senior Engineer,07-12-1960,Tadahiko,Ulupinar,F,17-05-1991,5,A,0,NULL,72504,52,22,
10301,d002,Finance,s0001,Staff,26-08-1962,Lucien,Staudhammer,M,23-05-1988,6,A,0,NULL,40000,50,25,
10302,d007,Sales,s0001,Staff,10-11-1954,Faiza,Baer,F,22-07-1986,10,B,0,NULL,58239,58,26,
10303,d004,Production,e0003,Senior Engineer,09-11-1961,Marlo,Zschoche,M,02-05-1990,7,B,0,NULL,40000,51,23,
10304,d007,Sales,s0001,Staff,03-07-1956,Bernt,Erie,M,16-11-1992,5,A,0,NULL,106905,57,20,
10305,d005,development,e0002,Engineer,30-06-1952,Hirochika,Piancastelli,M,31-10-1988,3,C,0,NULL,52550,61,24,
10306,d007,Sales,s0001,Staff,06-02-1953,Heng,Kilgour,M,09-06-1993,10,B,0,NULL,44229,60,20,
10307,d004,Production,e0002,Engineer,20-07-1955,Nikolaos,Leaver,M,04-10-1991,3,A,0,NULL,40000,57,21,
10307,d006,Quality Management,e0002,Engineer,20-07-1955,Nikolaos,Leaver,M,04-10-1991,3,A,0,NULL,40000,57,21,
10308,d007,Sales,s0001,Staff,14-03-1961,Dzung,Holburn,F,29-12-1992,2,C,0,NULL,59715,52,20,
10309,d005,development,e0001,Assistant Engineer,11-06-1964,Prodip,Schusler,F,20-06-1985,10,B,0,NULL,53031,49,28,
10310,d004,Production,e0003,Senior Engineer,29-08-1964,Aksel,Alencar,M,24-10-1990,3,A,1,12-09-2003,42894,48,22,
10311,d005,development,e0002,Engineer,24-11-1958,Hsiangchu,Molenkamp,F,04-01-1991,9,B,0,NULL,40000,54,22,
10312,d004,Production,e0003,Senior Engineer,18-06-1957,Rasiah,Deyuan,F,28-08-1986,2,A,0,NULL,56705,56,26,
